'recipe_id', 'measurement', 'unit', 'ingredient'
15,0,cups,"¼ chopped green onions"
15,0.125,cups,"dried parsley"
15,0,,"½ (1 ounce) package taco seasoning mix"
15,5,,"drops hot pepper sauce"
16,0.25,cups,"vegetable oil"
16,1,,"green bell pepper, chopped"
16,1,,"yellow onion, chopped"
16,2,pounds,"½ lean ground beef"
16,0,cups,"⅔ red wine"
16,2,,"beef bouillon cubes"
16,2,,"(16 ounce) cans whole peeled tomatoes, chopped, juice reserved"
16,1,,"(12 ounce) can tomato paste"
16,2,,"garlic cloves, crushed"
16,0.125,cups,"dried parsley"
16,0.042,cups,"½ dried basil"
16,0.042,cups,"½ chili powder"
16,0.021,cups,"½ paprika"
16,0.021,cups,"cayenne pepper"
16,0.0,cups,"½ dried oregano"
16,0.021,cups,"salt"
16,0.0,cups,"½ black pepper"
16,1,,"(15 ounce) can kidney beans, drained"
16,12,,"drops hot pepper sauce (e.g. Tabasco)"
16,0.1875,cups,"flour"
16,0.1875,cups,"corn meal"
16,0,cups,"½ water"
17,3,,"medium russet potatoes, cubed"
17,0.1875,cups,"butter or margarine"
17,0,,"salt and ground black pepper to taste"
18,0.0,cups,"¾ olive oil, divided"
18,1,,"clove garlic, minced"
18,0,cups,"⅓ packed brown sugar"
18,0,cups,"¼ soy sauce"
18,0,,"½ lemon, juiced"
18,0.021,cups,"honey"
18,0.0,cups,"¼ sea salt, plus more for garnish"
18,0.0,cups,"¼ ground black pepper, plus more for garnish"
18,0.0,cups,"¼ red pepper flakes"
18,4,,"(6 ounce) fillets salmon"
18,0.0625,cups,"olive oil"
19,6,,"cloves garlic, peeled, divided"
19,0.75,cups,"mayonnaise"
19,0.375,cups,"grated Parmesan cheese, divided"
19,5,,"anchovy fillets, minced"
19,0.0625,cups,"lemon juice, or more to taste"
19,0.021,cups,"Worcestershire sauce"
19,0.021,cups,"Dijon mustard"
19,0,,"salt and freshly ground black pepper to taste"
19,0.25,cups,"olive oil"
19,4,cups,"day-old bread, cubed"
19,1,,"head romaine lettuce, torn into bite-sized pieces"
20,0.0625,cups,"olive oil"
20,2,cups,"chopped onion"
20,2,cups,"chopped carrot"
20,2,cups,"finely chopped celery"
20,0.021,cups,"½ minced garlic"
20,1,cups,"yellow split peas"
20,1,cups,"green split peas"
20,8,cups,"fat-free chicken broth"
20,0.021,cups,"½ salt-free seasoning blend"
20,0.021,cups,"salt"
